id,text,category
1,I need an experienced glass installer.,Glass Installer
2,I'm looking for a reliable pest control.,Pest Control
3,Who is available to repair the CCTV system?,CCTV Technician
4,Could someone help me to paint the room?,Painter
5,Need urgent help because water pipe is leaking.,Plumber
6,Could someone recommend a reliable auto electrician? the car battery keeps dying.,Auto Electrician
7,Need someone reliable to look after my child.,Babysitter
8,machine leaks water. Looking for an experienced washing machine technician.,Washing Machine Technician
9,Looking for an experienced babysitter to take care of my child.,Babysitter
10,My problem is that the exterior walls need repainting. I need a painter.,Painter
11,Please send a mobile phone technician. my phone won't turn on.,Mobile Phone Technician
12,I need a computer technician because my desktop is very slow.,Computer Technician
13,Need someone reliable to repair my phone.,Mobile Phone Technician
14,Need professional assistance to replace faulty components.,Electrician
15,Who can help me? a water pipe has burst.,Plumber
16,phone won't charge. Can someone assist?,Mobile Phone Technician
17,I would like to hire a washing machine technician to inspect the appliance.,Washing Machine Technician
18,Can anyone recommend a good office cleaner?,Office Cleaner
19,Can a mobile phone technician visit today? my phone screen is cracked.,Mobile Phone Technician
20,Need someone reliable to fix the display.,TV Repair Technician
21,My problem is that the bike engine is noisy. I need a motorcycle mechanic.,Motorcycle Mechanic
22,I need a qualified mason to do cement work.,Mason
23,Who is available to repair the AC?,AC Technician
24,Who can help me? there are cockroaches in my house.,Pest Control
25,I would like to hire a house cleaner. weekly cleaning required.,House Cleaner
26,I need a refrigerator technician because the refrigerator is warm inside.,Refrigerator Technician
27,My problem is that I have a rat infestation. I need a pest control.,Pest Control
28,I would like to hire a refrigerator technician. fridge is not cooling.,Refrigerator Technician
29,the cement floor needs repair. I need this fixed soon.,Mason
30,Please send a security guard. I need event security.,Security Guard
31,I'm searching for a reliable washing machine technician.,Washing Machine Technician
32,paint is peeling from the ceiling. Could someone help?,Painter
33,Could someone please help around the house?,Domestic Helper
34,I need a professional mason to complete brick laying.,Mason
35,Please send a security guard; need security for an event.,Security Guard
36,Please send a gardener. the hedges need trimming.,Gardener
37,I need someone to fix the appliance.,Refrigerator Technician
38,Can anyone recommend a reliable tire repair? my tyre has a puncture.,Tire Repair
39,I need professional help to repair the vehicle.,Car Mechanic
40,Can anyone recommend an experienced auto electrician?,Auto Electrician
41,my kitchen cabinet is loose. Looking for a qualified carpenter.,Carpenter
42,I'm searching for a skilled ac technician because my air conditioner is not cooling.,AC Technician
43,I would like to hire a office cleaner.,Office Cleaner
44,need security for an event. Looking for an experienced security guard.,Security Guard
45,I need an experienced computer technician.,Computer Technician
46,Need expert assistance to replace damaged tiles.,Tiler
47,the fridge is warm inside. Could someone help?,Refrigerator Technician
48,the garden is full of weeds. I need this fixed as soon as possible.,Gardener
49,I'm looking for a skilled babysitter to babysit my child.,Babysitter
50,Please help because I need a full house clean.,House Cleaner
51,I need a welder because the window grill is broken.,Welder
52,my wooden window frame is damaged. I need this fixed as soon as possible.,Carpenter
53,Can a babysitter visit today? I need a babysitter this evening.,Babysitter
54,I need a house cleaner because I need move-out cleaning.,House Cleaner
55,Looking for an experienced ac technician to repair the AC.,AC Technician
56,Looking for an experienced washing machine technician to inspect the appliance.,Washing Machine Technician
57,I would like to hire a tiler.,Tiler
58,the lawn needs mowing. I need this fixed soon.,Gardener
59,I would like to hire a mason.,Mason
60,I'm experiencing a problem because wooden door won't close. I need a carpenter.,Carpenter
61,I need a gardener because the hedges need trimming.,Gardener
62,Please help because a steel frame needs welding.,Welder
63,Can anyone recommend an experienced aluminum fabricator?,Aluminum Fabricator
64,I would like to hire a mason to repair the masonry.,Mason
65,I would like to hire a domestic helper. need daily home assistance.,Domestic Helper
66,I need professional help to service the unit.,AC Technician
67,Can anyone recommend a reliable mason? I need a small boundary wall built.,Mason
68,Who can help? the fuse keeps blowing.,Electrician
69,Need professional assistance to replace the tyre.,Tire Repair
70,my desktop is very slow. Looking for a qualified computer technician.,Computer Technician
71,I'm looking for a trusted elder caregiver. I need a caregiver for senior care.,Elder Caregiver
72,Can anyone recommend an experienced roofer?,Roofer
73,Need urgent help because brakes feel weak.,Car Mechanic
74,Looking for immediate assistance to repair the metal gate.,Welder
75,I need a security guard because I need overnight security.,Security Guard
76,I need professional help since my phone won't charge.,Mobile Phone Technician
77,I would like to hire a computer technician.,Computer Technician
78,Please send a car mechanic; brakes feel weak.,Car Mechanic
79,the fridge is warm inside. Could someone help?,Refrigerator Technician
80,Please send a welder. the window grill is broken.,Welder
81,I would like to hire a glass installer. glass door is cracked.,Glass Installer
82,need a glass partition. Can someone assist?,Glass Installer
83,Can anyone recommend an experienced tv repair technician?,TV Repair Technician
84,Who can carry out pest control for me?,Pest Control
85,Looking for an experienced car mechanic to inspect the engine.,Car Mechanic
86,I would like to hire a babysitter because I need someone to look after my child.,Babysitter
87,My situation is urgent because the vehicle is overheating.,Car Mechanic
88,Can anyone recommend an experienced computer technician?,Computer Technician
89,I would like to hire a electrician to inspect the electrical system.,Electrician
90,Can anyone recommend a good security guard?,Security Guard
91,I need professional help to repair the gate.,Welder
92,glass door is cracked. Can someone assist?,Glass Installer
93,my phone battery drains quickly. I need this fixed soon.,Mobile Phone Technician
94,Can anyone help me? the AC needs servicing.,AC Technician
95,Need professional assistance to trim the plants.,Gardener
96,ceiling paint is peeling. Looking for an experienced painter.,Painter
97,Need urgent help because office partition is damaged.,Aluminum Fabricator
98,I need an experienced electrician.,Electrician
99,I need professional help to repair the motorcycle.,Motorcycle Mechanic
100,the air conditioner makes loud noises. Could someone help?,AC Technician
101,I need an experienced elder caregiver.,Elder Caregiver
102,the washing machine vibrates heavily. Could someone help?,Washing Machine Technician
103,Could someone help me to inspect the appliance?,Washing Machine Technician
104,Looking for immediate assistance to repair the vehicle wiring.,Auto Electrician
105,I'm looking for a reliable auto electrician.,Auto Electrician
106,I'm looking for a trusted house cleaner. I need move-out cleaning.,House Cleaner
107,Can anyone help me? my window glass is broken.,Glass Installer
108,Looking for someone who can repair the roof.,Roofer
109,Can anyone recommend an experienced ac technician?,AC Technician
110,Need urgent help because elderly parent needs daily support.,Elder Caregiver
111,I need a roofer because roof sheets are damaged.,Roofer
112,Looking for immediate assistance to replace the roof sheets.,Roofer
113,I would like to hire a mason. need a retaining wall built.,Mason
114,Who can help me? I need a caregiver for senior care.,Elder Caregiver
115,Looking for an experienced mason to do cement work.,Mason
116,Can anyone help me? my garden needs maintenance.,Gardener
117,I'm searching for a skilled refrigerator technician because my refrigerator is not cooling.,Refrigerator Technician
118,I would like to hire a cctv technician. security cameras need configuration.,CCTV Technician
119,Can anyone recommend a good electrician?,Electrician
120,Can a cook visit today? I need a cook for daily meals.,Cook
121,I would like to hire a security guard because I need event security.,Security Guard
122,wooden door won't close. Looking for an experienced carpenter.,Carpenter
123,I'm experiencing a problem because cabinet hinges are loose. I need a carpenter.,Carpenter
124,I would like to hire a welder. window grill is loose.,Welder
125,I need someone to prepare daily meals. Could someone help?,Cook
126,Need urgent assistance because my kitchen sink is leaking.,Plumber
127,my house needs a deep clean. I need this fixed as soon as possible.,House Cleaner
128,Please send a mason; need brick laying for a room extension.,Mason
129,Could someone please service the air conditioner?,AC Technician
130,my roof is leaking. Please help as soon as possible.,Roofer
131,I'm looking for a trusted tiler. kitchen wall tiles need installation.,Tiler
132,Could someone please clean the entire home?,House Cleaner
133,Who is available to provide security services?,Security Guard
134,Please send a welder. the metal frame is cracked.,Welder
135,my roof is leaking. Looking for a qualified roofer.,Roofer
136,Can anyone recommend a reliable tv repair technician? the television won't turn on.,TV Repair Technician
137,Can anyone recommend an experienced motorcycle mechanic?,Motorcycle Mechanic
138,I need security for my property. Could someone help?,Security Guard
139,Please send a pest control. I have a rat infestation.,Pest Control
140,I need an experienced glass installer.,Glass Installer
141,Please arrange a security guard. I need event security.,Security Guard
142,Please send a elder caregiver. I need care for my elderly parent.,Elder Caregiver
143,Looking for someone who can repair the engine.,Car Mechanic
144,I need help with daily household chores. I need professional help.,Domestic Helper
145,I need someone to clean the office.,Office Cleaner
